scenario,policy,seed,complete,coverage,path_m,steps,pose_rmse_m,max_pose_error_m,risk_exposure,failure_steps,stabilization_revisits,recovery_budget_spent_m,decision_count
visual_degradation,nearest,0,True,1.0,52.5,210,0.25750172882336336,0.47269192560916734,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,1,True,1.0,52.5,210,0.27753269509554523,0.5378694003149669,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,2,True,1.0,52.5,210,0.19985634073424416,0.3703711742237836,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,3,True,1.0,52.5,210,0.12528814219117904,0.2851584928849477,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,4,True,1.0,52.5,210,0.23800361328555755,0.40459711299780526,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,5,True,1.0,52.5,210,0.2540394524414575,0.38594376089036336,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,6,True,1.0,52.5,210,0.24057509532622126,0.3702559989400388,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,7,True,1.0,52.5,210,0.3177845985793301,0.466481829718687,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,8,True,1.0,52.5,210,0.16725960562201372,0.29970830334780457,13.018632857871877,0,0,0.0,11
visual_degradation,nearest,9,True,1.0,52.5,210,0.3141850928147586,0.4405683637477254,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,0,True,1.0,52.5,210,0.25750172882336336,0.47269192560916734,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,1,True,1.0,52.5,210,0.27753269509554523,0.5378694003149669,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,2,True,1.0,52.5,210,0.19985634073424416,0.3703711742237836,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,3,True,1.0,52.5,210,0.12528814219117904,0.2851584928849477,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,4,True,1.0,52.5,210,0.23800361328555755,0.40459711299780526,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,5,True,1.0,52.5,210,0.2540394524414575,0.38594376089036336,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,6,True,1.0,52.5,210,0.24057509532622126,0.3702559989400388,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,7,True,1.0,52.5,210,0.3177845985793301,0.466481829718687,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,8,True,1.0,52.5,210,0.16725960562201372,0.29970830334780457,13.018632857871877,0,0,0.0,11
visual_degradation,information_gain,9,True,1.0,52.5,210,0.3141850928147586,0.4405683637477254,13.018632857871877,0,0,0.0,11
visual_degradation,distance_advantage,0,True,1.0,56.5,226,0.2296922742510133,0.426690192121302,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,1,True,1.0,56.5,226,0.2800089813674857,0.5049577125176229,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,2,True,1.0,56.5,226,0.26000790220494757,0.4581996739986408,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,3,True,1.0,56.5,226,0.09557981723863081,0.20065895950898632,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,4,True,1.0,56.5,226,0.23165485770551592,0.3593485969218404,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,5,True,1.0,56.5,226,0.2024531519502086,0.33845477234091276,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,6,True,1.0,56.5,226,0.30702104707186406,0.4309752470815264,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,7,True,1.0,56.5,226,0.29776809375868185,0.42976286447368556,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,8,True,1.0,56.5,226,0.09823785280439255,0.23129029620419883,13.990687697324056,0,0,0.0,11
visual_degradation,distance_advantage,9,True,1.0,56.5,226,0.30562551507165214,0.42830865734801155,13.990687697324056,0,0,0.0,11
visual_degradation,visual_risk,0,True,1.0,56.5,226,0.2857125893755908,0.5039707150033427,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,1,True,1.0,56.5,226,0.30694857696624644,0.5115709645782011,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,2,True,1.0,56.5,226,0.24486648396084687,0.39646796266786094,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,3,True,1.0,56.5,226,0.0898516310671441,0.16708645820425305,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,4,True,1.0,56.5,226,0.23307119956536762,0.3398593993524951,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,5,True,1.0,56.5,226,0.17897451384910304,0.2729358120457064,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,6,True,1.0,56.5,226,0.3025962761063644,0.427818435822578,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,7,True,1.0,56.5,226,0.3142612825875049,0.4626696287248722,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,8,True,1.0,56.5,226,0.10035258273312408,0.23129029620419883,13.844401992902068,0,0,0.0,11
visual_degradation,visual_risk,9,True,1.0,56.5,226,0.33387549375691183,0.46778918787848367,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,0,True,1.0,56.5,226,0.2857125893755908,0.5039707150033427,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,1,True,1.0,56.5,226,0.30694857696624644,0.5115709645782011,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,2,True,1.0,56.5,226,0.24486648396084687,0.39646796266786094,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,3,True,1.0,56.5,226,0.0898516310671441,0.16708645820425305,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,4,True,1.0,56.5,226,0.23307119956536762,0.3398593993524951,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,5,True,1.0,56.5,226,0.17897451384910304,0.2729358120457064,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,6,True,1.0,56.5,226,0.3025962761063644,0.427818435822578,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,7,True,1.0,56.5,226,0.3142612825875049,0.4626696287248722,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,8,True,1.0,56.5,226,0.10035258273312408,0.23129029620419883,13.844401992902068,0,0,0.0,11
visual_degradation,cross_modal_risk,9,True,1.0,56.5,226,0.33387549375691183,0.46778918787848367,13.844401992902068,0,0,0.0,11
complementary,nearest,0,True,1.0,52.5,210,0.4573262084469671,0.8801781960035804,23.396876109340305,6,0,0.0,11
complementary,nearest,1,True,1.0,52.5,210,0.5187685726535469,1.034106327889584,23.396876109340305,2,0,0.0,11
complementary,nearest,2,True,1.0,52.5,210,0.5806332815092333,0.944993192535655,23.396876109340305,1,0,0.0,11
complementary,nearest,3,True,1.0,52.5,210,0.26920973474235554,0.726698296158821,23.396876109340305,2,0,0.0,11
complementary,nearest,4,True,1.0,52.5,210,0.5223164279097866,0.9017328764901901,23.396876109340305,1,0,0.0,11
complementary,nearest,5,True,1.0,52.5,210,0.48908718162684117,0.9496315313368392,23.396876109340305,2,0,0.0,11
complementary,nearest,6,True,1.0,52.5,210,0.43372345429103687,0.7346494109399786,23.396876109340305,5,0,0.0,11
complementary,nearest,7,True,1.0,52.5,210,0.5639681891654045,0.8991026090075699,23.396876109340305,2,0,0.0,11
complementary,nearest,8,True,1.0,52.5,210,0.39737329065193155,0.8026023790569637,23.396876109340305,1,0,0.0,11
complementary,nearest,9,True,1.0,52.5,210,0.5043164596683901,0.7908603864397703,23.396876109340305,4,0,0.0,11
complementary,information_gain,0,True,1.0,52.5,210,0.4573262084469671,0.8801781960035804,23.396876109340305,6,0,0.0,11
complementary,information_gain,1,True,1.0,52.5,210,0.5187685726535469,1.034106327889584,23.396876109340305,2,0,0.0,11
complementary,information_gain,2,True,1.0,52.5,210,0.5806332815092333,0.944993192535655,23.396876109340305,1,0,0.0,11
complementary,information_gain,3,True,1.0,52.5,210,0.26920973474235554,0.726698296158821,23.396876109340305,2,0,0.0,11
complementary,information_gain,4,True,1.0,52.5,210,0.5223164279097866,0.9017328764901901,23.396876109340305,1,0,0.0,11
complementary,information_gain,5,True,1.0,52.5,210,0.48908718162684117,0.9496315313368392,23.396876109340305,2,0,0.0,11
complementary,information_gain,6,True,1.0,52.5,210,0.43372345429103687,0.7346494109399786,23.396876109340305,5,0,0.0,11
complementary,information_gain,7,True,1.0,52.5,210,0.5639681891654045,0.8991026090075699,23.396876109340305,2,0,0.0,11
complementary,information_gain,8,True,1.0,52.5,210,0.39737329065193155,0.8026023790569637,23.396876109340305,1,0,0.0,11
complementary,information_gain,9,True,1.0,52.5,210,0.5043164596683901,0.7908603864397703,23.396876109340305,4,0,0.0,11
complementary,distance_advantage,0,True,1.0,56.5,226,0.5682173459241083,1.0668322071710572,25.2777807878605,3,0,0.0,11
complementary,distance_advantage,1,True,1.0,56.5,226,0.4574040483932868,0.9243332005411542,25.2777807878605,1,0,0.0,11
complementary,distance_advantage,2,True,1.0,56.5,226,0.5350727160014797,0.9099595480274792,25.2777807878605,3,0,0.0,11
complementary,distance_advantage,3,True,1.0,56.5,226,0.17287934747088113,0.3273056061181102,25.2777807878605,0,0,0.0,11
