scenario,budget_m,policy,seed,complete,coverage,path_m,steps,pose_rmse_m,max_pose_error_m,risk_exposure,failure_steps,stabilization_revisits,recovery_budget_spent_m,decision_count
complementary,8.0,cross_modal_risk,4,True,1.0,49.0,196,0.5509179742187129,0.8038584530950756,21.43685515833086,11,0,0.0,10
complementary,12.0,cross_modal_risk,0,True,1.0,49.0,196,0.7021108706034371,1.3103772648278613,21.43685515833086,1,0,0.0,10
complementary,12.0,cross_modal_risk,1,True,1.0,49.0,196,0.5138689079863783,0.903210142955014,21.43685515833086,2,0,0.0,10
complementary,12.0,cross_modal_risk,2,True,1.0,49.0,196,0.49147390477738184,0.7997203702747184,21.43685515833086,7,0,0.0,10
complementary,12.0,cross_modal_risk,3,True,1.0,49.0,196,0.2502614988959522,0.463208892111691,21.43685515833086,0,0,0.0,10
complementary,12.0,cross_modal_risk,4,True,1.0,49.0,196,0.5509179742187129,0.8038584530950756,21.43685515833086,11,0,0.0,10
complementary,16.0,cross_modal_risk,0,True,1.0,55.25,221,0.33248870795034996,0.5049154966450793,17.707314074217436,0,1,12.5,10
complementary,16.0,cross_modal_risk,1,True,1.0,55.25,221,0.23833096618300523,0.41711620229430724,17.707314074217436,0,1,12.5,10
complementary,16.0,cross_modal_risk,2,True,1.0,55.25,221,0.3106689459035255,0.46240141461831147,17.707314074217436,0,1,12.5,10
complementary,16.0,cross_modal_risk,3,True,1.0,55.25,221,0.1897478756821818,0.3203251608720525,17.707314074217436,0,1,12.5,10
complementary,16.0,cross_modal_risk,4,True,1.0,55.25,221,0.4454463882119861,0.5896855207477755,17.707314074217436,5,1,12.5,10
common_mode,0.0,cross_modal_risk,0,True,1.0,49.0,196,0.5494828360406233,1.1014037706522033,22.95795570798495,4,0,0.0,10
common_mode,0.0,cross_modal_risk,1,True,1.0,49.0,196,0.5485359584126414,0.9680486777104896,22.95795570798495,1,0,0.0,10
common_mode,0.0,cross_modal_risk,2,True,1.0,49.0,196,0.6119366089559682,0.9362612354368033,22.95795570798495,3,0,0.0,10
common_mode,0.0,cross_modal_risk,3,True,1.0,49.0,196,0.3585422072940358,0.6011248181976027,22.95795570798495,1,0,0.0,10
common_mode,0.0,cross_modal_risk,4,True,1.0,49.0,196,0.6462425278969033,0.8830767784036024,22.95795570798495,3,0,0.0,10
common_mode,4.0,cross_modal_risk,0,True,1.0,49.0,196,0.5494828360406233,1.1014037706522033,22.95795570798495,4,0,0.0,10
common_mode,4.0,cross_modal_risk,1,True,1.0,49.0,196,0.5485359584126414,0.9680486777104896,22.95795570798495,1,0,0.0,10
common_mode,4.0,cross_modal_risk,2,True,1.0,49.0,196,0.6119366089559682,0.9362612354368033,22.95795570798495,3,0,0.0,10
common_mode,4.0,cross_modal_risk,3,True,1.0,49.0,196,0.3585422072940358,0.6011248181976027,22.95795570798495,1,0,0.0,10
common_mode,4.0,cross_modal_risk,4,True,1.0,49.0,196,0.6462425278969033,0.8830767784036024,22.95795570798495,3,0,0.0,10
common_mode,8.0,cross_modal_risk,0,True,1.0,49.0,196,0.5494828360406233,1.1014037706522033,22.95795570798495,4,0,0.0,10
common_mode,8.0,cross_modal_risk,1,True,1.0,49.0,196,0.5485359584126414,0.9680486777104896,22.95795570798495,1,0,0.0,10
common_mode,8.0,cross_modal_risk,2,True,1.0,49.0,196,0.6119366089559682,0.9362612354368033,22.95795570798495,3,0,0.0,10
common_mode,8.0,cross_modal_risk,3,True,1.0,49.0,196,0.3585422072940358,0.6011248181976027,22.95795570798495,1,0,0.0,10
common_mode,8.0,cross_modal_risk,4,True,1.0,49.0,196,0.6462425278969033,0.8830767784036024,22.95795570798495,3,0,0.0,10
common_mode,12.0,cross_modal_risk,0,True,1.0,49.0,196,0.5494828360406233,1.1014037706522033,22.95795570798495,4,0,0.0,10
common_mode,12.0,cross_modal_risk,1,True,1.0,49.0,196,0.5485359584126414,0.9680486777104896,22.95795570798495,1,0,0.0,10
common_mode,12.0,cross_modal_risk,2,True,1.0,49.0,196,0.6119366089559682,0.9362612354368033,22.95795570798495,3,0,0.0,10
common_mode,12.0,cross_modal_risk,3,True,1.0,49.0,196,0.3585422072940358,0.6011248181976027,22.95795570798495,1,0,0.0,10
common_mode,12.0,cross_modal_risk,4,True,1.0,49.0,196,0.6462425278969033,0.8830767784036024,22.95795570798495,3,0,0.0,10
common_mode,16.0,cross_modal_risk,0,True,1.0,61.5,246,0.2828493462306378,0.6011663603334346,25.301500665820235,2,1,12.5,11
common_mode,16.0,cross_modal_risk,1,True,1.0,61.5,246,0.32695535629327777,0.7088862864708099,25.301500665820235,2,1,12.5,11
common_mode,16.0,cross_modal_risk,2,True,1.0,61.5,246,0.3595851955325045,0.6017180577995234,25.301500665820235,4,1,12.5,11
common_mode,16.0,cross_modal_risk,3,True,1.0,61.5,246,0.28441033960515083,0.45935747825057244,25.301500665820235,0,1,12.5,11
common_mode,16.0,cross_modal_risk,4,True,1.0,61.5,246,0.6158597689216142,0.9915104109712577,25.301500665820235,3,1,12.5,11
