model,auroc,auprc,brier,ece_10
prevalence,0.5,0.7225130890052356,0.35718231529959277,0.39584642233856887
covariance,0.4405592015313098,0.6660002085686557,0.24973262108475694,0.22191158521187593
visual,0.6380229696472519,0.8292711189400809,0.2097885955823225,0.10377737449926737
lidar,0.39075745146294777,0.7271746227092332,0.3000457486952727,0.287645200322745
cross_modal,0.6124555646704948,0.8298799945840845,0.28121440909597784,0.22599784960321345
covariance_window,0.670153130981679,0.8470374521578083,0.23742688773525214,0.19305433767862845
visual_window,0.6377837024883785,0.8117813325056644,0.284770439025099,0.29195492146031626
lidar_window,0.2836341263330599,0.6090586799854196,0.35436723719213925,0.3735328402495902
cross_modal_window,0.4611703582171178,0.688442109697572,0.477774577706808,0.47754602473870167
